number,available_bikes,available_bikes_stands,last_update
88,13,16,"2021-03-22 13:21:58"
83,15,25,"2021-03-22 13:21:51"
16,10,10,"2021-03-22 13:21:51"
90,15,25,"2021-03-22 13:21:50"
92,15,25,"2021-03-22 13:21:47"
111,11,29,"2021-03-22 13:21:41"
66,3,37,"2021-03-22 13:21:32"
94,11,29,"2021-03-22 13:21:23"
98,9,31,"2021-03-22 13:21:21"
76,12,26,"2021-03-22 13:21:05"
7,13,16,"2021-03-22 13:20:58"
67,15,25,"2021-03-22 13:20:53"
65,15,25,"2021-03-22 13:20:39"
22,3,17,"2021-03-22 13:20:35"
85,20,15,"2021-03-22 13:20:17"
39,7,13,"2021-03-22 13:20:15"
102,7,33,"2021-03-22 13:20:14"
34,16,14,"2021-03-22 13:19:59"
25,10,20,"2021-03-22 13:19:50"
109,19,10,"2021-03-22 13:19:50"
15,6,10,"2021-03-22 13:19:48"
75,14,26,"2021-03-22 13:19:41"
86,11,26,"2021-03-22 13:19:41"
117,0,40,"2021-03-22 13:19:37"
89,6,34,"2021-03-22 13:19:33"
103,7,33,"2021-03-22 13:19:20"
91,5,25,"2021-03-22 13:19:18"
80,19,21,"2021-03-22 13:19:10"
54,11,22,"2021-03-22 13:19:10"
104,18,22,"2021-03-22 13:18:59"
114,10,30,"2021-03-22 13:18:48"
97,11,29,"2021-03-22 13:18:46"
107,10,30,"2021-03-22 13:18:43"
105,5,31,"2021-03-22 13:18:28"
84,17,13,"2021-03-22 13:18:28"
106,7,33,"2021-03-22 13:18:24"
10,9,7,"2021-03-22 13:18:07"
82,10,12,"2021-03-22 13:17:47"
66,2,38,"2021-03-22 13:17:47"
92,13,27,"2021-03-22 13:17:33"
18,13,17,"2021-03-22 13:17:30"
33,7,16,"2021-03-22 13:17:28"
110,17,23,"2021-03-22 13:17:26"
111,10,30,"2021-03-22 13:17:17"
68,16,24,"2021-03-22 13:17:05"
30,0,20,"2021-03-22 13:17:04"
29,9,20,"2021-03-22 13:17:03"
57,6,17,"2021-03-22 13:16:50"
69,15,24,"2021-03-22 13:16:48"
6,4,16,"2021-03-22 13:16:44"
11,12,18,"2021-03-22 13:16:41"
7,12,17,"2021-03-22 13:16:33"
90,14,26,"2021-03-22 13:16:31"
2,7,13,"2021-03-22 13:16:30"
55,12,24,"2021-03-22 13:16:25"
28,8,22,"2021-03-22 13:16:24"
71,4,35,"2021-03-22 13:16:23"
52,10,22,"2021-03-22 13:16:20"
47,5,35,"2021-03-22 13:16:17"
61,16,8,"2021-03-22 13:16:16"
74,10,19,"2021-03-22 13:16:10"
36,11,29,"2021-03-22 13:16:06"
59,12,8,"2021-03-22 13:15:45"
21,13,17,"2021-03-22 13:15:45"
40,13,8,"2021-03-22 13:15:42"
4,12,8,"2021-03-22 13:15:40"
86,12,25,"2021-03-22 13:15:36"
43,9,21,"2021-03-22 13:15:35"
8,10,20,"2021-03-22 13:15:32"
19,13,17,"2021-03-22 13:15:28"
27,8,12,"2021-03-22 13:15:21"
95,12,28,"2021-03-22 13:15:14"
37,3,27,"2021-03-22 13:15:08"
108,12,28,"2021-03-22 13:15:05"
5,10,30,"2021-03-22 13:15:03"
78,18,21,"2021-03-22 13:15:01"
93,11,29,"2021-03-22 13:15:01"
99,8,22,"2021-03-22 13:14:56"
31,7,12,"2021-03-22 13:14:48"
116,7,23,"2021-03-22 13:14:43"
77,8,21,"2021-03-22 13:14:34"
49,13,27,"2021-03-22 13:14:31"
78,16,23,"2021-03-22 13:14:28"
48,2,38,"2021-03-22 13:14:24"
50,12,28,"2021-03-22 13:14:22"
13,17,13,"2021-03-22 13:14:15"
3,10,10,"2021-03-22 13:14:13"
17,9,11,"2021-03-22 13:14:12"
83,16,24,"2021-03-22 13:13:59"
91,4,26,"2021-03-22 13:13:55"
32,11,19,"2021-03-22 13:13:55"
51,10,30,"2021-03-22 13:13:52"
42,12,18,"2021-03-22 13:13:48"
113,14,26,"2021-03-22 13:13:47"
12,5,15,"2021-03-22 13:13:41"
68,17,23,"2021-03-22 13:13:37"
23,12,18,"2021-03-22 13:13:30"
41,3,17,"2021-03-22 13:13:23"
79,12,14,"2021-03-22 13:13:15"
62,3,37,"2021-03-22 13:13:02"
63,13,22,"2021-03-22 13:12:58"
45,4,26,"2021-03-22 13:12:45"
96,5,25,"2021-03-22 13:12:39"
33,19,4,"2021-03-22 13:12:38"
112,11,19,"2021-03-22 13:12:38"
22,4,16,"2021-03-22 13:12:35"
87,11,27,"2021-03-22 13:12:34"
9,6,18,"2021-03-22 13:12:29"
53,7,33,"2021-03-22 13:12:26"
72,10,21,"2021-03-22 13:12:25"
56,12,28,"2021-03-22 13:12:23"
101,12,17,"2021-03-22 13:12:22"
64,7,33,"2021-03-22 13:12:19"
24,3,17,"2021-03-22 13:12:19"
73,15,15,"2021-03-22 13:12:17"
16,9,11,"2021-03-22 13:12:05"
100,15,10,"2021-03-22 13:12:04"
44,18,12,"2021-03-22 13:12:02"
88,13,16,"2021-03-22 13:11:51"
5,11,29,"2021-03-22 13:11:51"
66,1,39,"2021-03-22 13:11:46"
29,7,22,"2021-03-22 13:11:45"
26,9,11,"2021-03-22 13:11:29"
74,11,18,"2021-03-22 13:11:19"
94,11,29,"2021-03-22 13:11:17"
98,9,31,"2021-03-22 13:11:16"
47,4,36,"2021-03-22 13:11:15"
21,12,18,"2021-03-22 13:11:12"
85,21,14,"2021-03-22 13:11:04"
115,12,18,"2021-03-22 13:11:04"
76,12,26,"2021-03-22 13:10:59"
110,18,22,"2021-03-22 13:10:58"
67,15,25,"2021-03-22 13:10:47"
65,15,25,"2021-03-22 13:10:33"
10,8,8,"2021-03-22 13:10:12"
38,16,24,"2021-03-22 13:10:10"
39,7,13,"2021-03-22 13:10:09"
102,7,33,"2021-03-22 13:10:08"
34,16,14,"2021-03-22 13:09:53"
58,10,30,"2021-03-22 13:09:46"
25,10,20,"2021-03-22 13:09:45"
109,19,10,"2021-03-22 13:09:44"
15,6,10,"2021-03-22 13:09:42"
40,14,7,"2021-03-22 13:09:37"
75,14,26,"2021-03-22 13:09:35"
117,0,40,"2021-03-22 13:09:30"
89,6,34,"2021-03-22 13:09:27"
56,5,35,"2021-03-22 13:09:24"
33,18,5,"2021-03-22 13:09:18"
103,7,33,"2021-03-22 13:09:14"
31,8,11,"2021-03-22 13:09:13"
54,11,22,"2021-03-22 13:09:04"
80,19,21,"2021-03-22 13:09:04"
43,8,22,"2021-03-22 13:08:59"
104,18,22,"2021-03-22 13:08:52"
68,17,23,"2021-03-22 13:08:44"
114,10,30,"2021-03-22 13:08:42"
97,11,29,"2021-03-22 13:08:39"
19,13,17,"2021-03-22 13:08:38"
107,10,30,"2021-03-22 13:08:37"
50,12,28,"2021-03-22 13:08:37"
17,8,12,"2021-03-22 13:08:34"
105,7,29,"2021-03-22 13:08:27"
84,17,13,"2021-03-22 13:08:22"
106,7,33,"2021-03-22 13:08:18"
38,17,23,"2021-03-22 13:07:59"
32,10,20,"2021-03-22 13:07:58"
88,12,17,"2021-03-22 13:07:58"
100,14,11,"2021-03-22 13:07:50"
82,10,12,"2021-03-22 13:07:41"
115,12,17,"2021-03-22 13:07:40"
57,0,23,"2021-03-22 13:07:39"
101,11,18,"2021-03-22 13:07:30"
92,13,27,"2021-03-22 13:07:27"
37,2,28,"2021-03-22 13:07:24"
18,13,17,"2021-03-22 13:07:24"
111,10,30,"2021-03-22 13:07:11"
66,2,38,"2021-03-22 13:07:09"
74,10,19,"2021-03-22 13:06:58"
