description,temp,temp_min,temp_max,humidity,intervals,number,available_bikes,available_bikes_stands,Day,Bikes_available
few clouds,11,11,12,76,2021-03-19 15:45:00,7,16,13,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,50,8,32,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,17,13,7,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,41,14,6,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,38,14,26,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,77,13,16,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,100,20,5,Friday,20
few clouds,11,11,12,76,2021-03-19 15:45:00,52,12,20,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,66,21,19,Friday,21
few clouds,11,11,12,76,2021-03-19 15:45:00,110,12,28,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,92,14,26,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,3,2,18,Friday,2
few clouds,11,11,12,76,2021-03-19 15:45:00,64,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,73,9,21,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,15,13,3,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,78,6,34,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,93,10,30,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,116,13,17,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,32,14,16,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,6,11,9,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,15,14,2,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,101,8,22,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,48,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,22,6,14,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,50,7,33,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,104,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,77,14,15,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,74,4,26,Friday,4
few clouds,11,11,12,76,2021-03-19 15:45:00,87,13,25,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,66,20,20,Friday,20
few clouds,11,11,12,76,2021-03-19 15:45:00,12,0,20,Friday,0
few clouds,11,11,12,76,2021-03-19 15:45:00,96,8,22,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,61,7,18,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,103,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,25,15,15,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,54,10,23,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,89,16,24,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,13,7,23,Friday,7
