number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Bikes_available
68,20,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
88,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
30,8,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
112,9,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
5,13,27,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
17,13,7,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
84,16,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
24,13,7,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
100,21,4,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
116,13,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
92,14,26,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
34,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
12,0,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,0
19,13,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
10,8,8,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
11,9,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
72,20,11,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
69,11,29,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,11
18,11,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,11
