number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Stands_available
11,10,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
72,19,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
103,10,30,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,30
65,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,33
53,17,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,23
7,16,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
77,16,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
41,14,6,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
19,11,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
82,3,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
68,20,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
88,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,18
30,8,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
112,9,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
5,13,27,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,27
17,13,7,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
84,16,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
24,13,7,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
100,21,4,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,4
116,13,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,17
92,14,26,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,26
34,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
12,0,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
19,13,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,17
10,8,8,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
11,9,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
72,20,11,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,11
69,11,29,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,29
18,11,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
